Rank,Title,Year,IMDb Rating,Votes,Genre,Runtime
90,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,8.2,822,"Animation, Action, Science Fiction, Drama",155
91,Le Trou,1960,8.245,488,"Drama, Thriller, Crime",132
92,Rascal Does Not Dream of a Dreaming Girl,2019,8.2,527,"Animation, Romance, Drama, Fantasy",90
93,Five Feet Apart,2019,8.2,5665,"Romance, Drama",116
94,Avengers: Endgame,2019,8.242,25959,"Adventure, Science Fiction, Action",181
95,Klaus,2019,8.242,4182,"Animation, Family, Adventure, Comedy, Fantasy",96
96,Green Book,2018,8.24,11778,"Drama, History",130
97,Avengers: Infinity War,2018,8.239,30115,"Adventure, Action, Science Fiction",149
98,I Want to Eat Your Pancreas,2018,8.2,1577,"Animation, Drama, Romance",108
99,Mommy,2014,8.235,2730,Drama,138
100,Out of the Clear Blue Sky,2019,8.232,353,"Comedy, Drama, Music",112
101,Wolf Children,2012,8.224,2301,"Animation, Family, Drama, Fantasy",117
102,Il Sorpasso,1962,8.2,767,"Drama, Comedy",105
103,The Matrix,1999,8.221,25990,"Action, Science Fiction",136
104,Puss in Boots: The Last Wish,2022,8.22,7982,"Animation, Adventure, Fantasy, Comedy, Family",103
105,Woman in the Dunes,1964,8.217,458,"Drama, Thriller",147
106,Wolfwalkers,2020,8.219,1211,"Animation, Family, Adventure, Fantasy",103
107,Saving Private Ryan,1998,8.2,16009,"Drama, History, War",169
108,Justice League Dark: Apokolips War,2020,8.2,1472,"Animation, Action, Science Fiction",90
109,Gladiator,2000,8.2,19304,"Action, Drama, Adventure",155
110,Inglourious Basterds,2009,8.216,22504,"Drama, Thriller, War",153
111,Ultraman: Rising,2024,8.215,300,"Animation, Science Fiction, Family, Action",117
112,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,8.213,3993,"Animation, Action, Fantasy, Thriller",117
113,The Shining,1980,8.213,17675,"Horror, Thriller",144
114,The Help,2011,8.2,8392,Drama,146
115,Witness for the Prosecution,1957,8.21,1436,"Drama, Mystery, Crime",116
116,The Handmaiden,2016,8.208,3812,"Thriller, Drama, Romance",145
117,Coco,2017,8.207,19713,"Family, Animation, Music, Adventure",105
118,The Prestige,2006,8.204,16239,"Drama, Mystery, Science Fiction",130
119,Star Wars,1977,8.2,20848,"Adventure, Action, Science Fiction",121
120,Shutter Island,2010,8.201,24197,"Drama, Thriller, Mystery",138
121,The Art of Racing in the Rain,2019,8.2,1502,"Drama, Romance",109
122,Michael Jackson's Thriller,1983,8.2,688,"Horror, Music, Mystery",14
123,Hacksaw Ridge,2016,8.195,13897,"Drama, History, War",139
124,The Apartment,1960,8.194,2355,"Comedy, Drama, Romance",125
125,My Mom Is a Character 3,2019,8.192,475,Comedy,111
126,Maquia: When the Promised Flower Blooms,2018,8.2,637,"Animation, Fantasy, Drama, Adventure",115
127,Doctor Who: The Day of the Doctor,2013,8.2,750,"Science Fiction, Adventure",77
128,Top Gun: Maverick,2022,8.189,9529,"Action, Drama",131
129,A Clockwork Orange,1971,8.188,12972,"Science Fiction, Crime",137
130,Violet Evergarden: Eternity and the Auto Memory Doll,2019,8.186,376,"Drama, Fantasy, Animation",91
131,The Seventh Seal,1957,8.2,3027,"Fantasy, Drama",96
132,Django Unchained,2012,8.183,26455,"Drama, Western",165
133,Bicycle Thieves,1948,8.179,2443,Drama,89
134,Memento,2000,8.18,15038,"Mystery, Thriller",113
135,The Usual Suspects,1995,8.177,10506,"Drama, Crime, Thriller",106
136,Tokyo Story,1953,8.175,1080,Drama,137
137,Hamilton,2020,8.174,1439,"History, Drama",160
138,Investigation of a Citizen Above Suspicion,1970,8.2,795,"Drama, Thriller",111
139,20th Century Girl,2022,8.17,710,"Romance, Drama",119
140,My Hero Academia: Heroes Rising,2019,8.2,1177,"Animation, Action, Fantasy, Adventure",104
141,Persona,1966,8.2,2171,Drama,83
142,The Kid,1921,8.164,2130,"Comedy, Drama",68
143,Scarface,1983,8.163,11987,"Action, Crime, Drama",169
144,Good Will Hunting,1997,8.161,12545,Drama,127
145,Vertigo,1958,8.161,5799,"Mystery, Romance, Thriller",128
146,Alien,1979,8.2,15007,"Horror, Science Fiction",117
147,The Departed,2006,8.16,15062,"Drama, Thriller, Crime",151
148,Innocent Voices,2005,8.157,489,"Drama, War",120
149,Casablanca,1943,8.158,5515,"Drama, Romance",102
150,Capernaum,2018,8.155,1732,Drama,126
151,Dune: Part Two,2024,8.151,6185,"Science Fiction, Adventure",167
152,Steven Universe: The Movie,2019,8.15,785,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction",82
153,Piper,2016,8.149,1639,"Family, Animation",6
154,Togo,2019,8.1,2056,"Adventure, Family",113
155,The Truman Show,1998,8.1,18568,"Comedy, Drama",103
156,Jujutsu Kaisen 0,2021,8.143,1443,"Animation, Action, Fantasy",105
157,Singin' in the Rain,1952,8.1,3179,"Comedy, Romance",103
158,Joker,2019,8.142,26075,"Crime, Thriller, Drama",122
159,There's Still Tomorrow,2023,8.1,1296,"Drama, Comedy, War, History",118
160,Silenced,2011,8.141,654,Drama,125
161,My Friends,1975,8.1,704,Comedy,140
162,8½,1963,8.1,2305,Drama,139
163,Taxi Driver,1976,8.1,12411,"Crime, Drama",114
164,Bound by Honor,1993,8.135,1375,"Crime, Action, Drama, Thriller",180
165,The Shop Around the Corner,1940,8.1,737,"Comedy, Drama, Romance",99
166,Scenes from a Marriage,1974,8.1,352,"Drama, Romance",169
167,Green Snake,2021,8.13,311,"Animation, Fantasy, Action, Adventure",131
168,Zack Snyder's Justice League,2021,8.1,10103,"Action, Adventure, Fantasy",242
169,Central Station,1998,8.1,927,Drama,110
170,Stalker,1979,8.1,2211,"Science Fiction, Drama",162
171,Red Beard,1965,8.127,365,Drama,185
172,Full Metal Jacket,1987,8.127,10604,"Drama, War",117
173,Wild Strawberries,1957,8.129,1653,Drama,91
174,Palmer,2021,8.121,1639,Drama,110
175,Wonder,2017,8.124,7912,"Drama, Family",113
176,Call Me by Your Name,2017,8.1,12169,"Romance, Drama",132
177,Reservoir Dogs,1992,8.12,14420,"Crime, Thriller",99
178,Terminator 2: Judgment Day,1991,8.119,13069,"Action, Thriller, Science Fiction",137
179,Portrait of a Lady on Fire,2019,8.1,2598,"Drama, Romance, History",121
180,The Father,2020,8.1,3231,Drama,97
181,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.116,5680,"Comedy, War",95
182,Soul,2020,8.116,10595,"Animation, Family, Comedy, Fantasy",101
183,"Lock, Stock and Two Smoking Barrels",1998,8.116,6651,"Comedy, Crime",105
184,Better Days,2019,8.117,462,"Drama, Crime, Romance",135
185,The Hate U Give,2018,8.1,2134,"Crime, Drama",133
186,Double Indemnity,1944,8.11,1822,"Crime, Thriller",107
187,Metropolis,1927,8.111,2800,"Drama, Science Fiction",148
188,The Great War,1959,8.1,344,"Comedy, War, Drama",137
189,Big Deal on Madonna Street,1958,8.108,708,"Comedy, Crime",106
190,In the Mood for Love,2000,8.106,2782,"Drama, Romance",99
191,The Invisible Guest,2017,8.104,4589,"Drama, Mystery, Thriller",107
192,"“The Shorts” by Aldo, Giovanni and Giacomo",1996,8.104,347,Comedy,120
193,Purple Hearts,2022,8.103,2596,"Romance, Drama",122
194,The Best of Youth,2003,8.1,544,"Drama, History, Romance",367
195,Transformers One,2024,8.1,1057,"Animation, Science Fiction, Adventure, Family",104
196,Mortal Kombat Legends: Scorpion's Revenge,2020,8.102,1383,"Animation, Action, Fantasy",80
197,Incendies,2010,8.101,2804,"Drama, War, Mystery",131
198,Sansho the Bailiff,1954,8.099,379,Drama,124
199,Prisoners,2013,8.1,11928,"Drama, Thriller, Crime",153
200,WALL·E,2008,8.096,18965,"Animation, Family, Science Fiction",98
201,"Paris, Texas",1984,8.1,1909,Drama,145
202,The Tale of The Princess Kaguya,2013,8.093,1799,"Animation, Drama, Fantasy",137
203,Yojimbo,1961,8.093,1482,"Drama, Thriller",110
204,Some Like It Hot,1959,8.094,3512,"Comedy, Romance, Crime",122
205,Eternal Sunshine of the Spotless Mind,2004,8.093,15156,"Science Fiction, Drama, Romance",108
206,The Hunt,2012,8.092,4251,Drama,116
207,Harry Potter and the Deathly Hallows: Part 2,2011,8.09,20768,"Fantasy, Adventure",130
208,All About Eve,1950,8.091,1551,Drama,139
209,La Haine,1995,8.087,4104,Drama,98
210,Das Boot,1981,8.084,2241,"Drama, History, War",150
211,New Gods: Nezha Reborn,2021,8.1,437,"Animation, Action, Fantasy",116
212,Children of Paradise,1945,8.1,417,"Drama, Romance",190
213,"Miraculous World: New York, United HeroeZ",2020,8.1,1100,"Animation, TV Movie, Fantasy, Action",61
214,Far from the Tree,2021,8.08,375,"Animation, Family",7
215,Along with the Gods: The Last 49 Days,2018,8.1,676,"Action, Adventure, Fantasy, Thriller",141
216,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019,8.1,551,"Animation, Adventure, Comedy, Fantasy",90
217,A Taxi Driver,2017,8.1,1006,"Action, Drama, History",138
218,M,1931,8.1,2209,"Drama, Thriller, Crime",111
219,Guillermo del Toro's Pinocchio,2022,8.074,2968,"Animation, Fantasy, Drama",117
220,Oppenheimer,2023,8.1,9751,"Drama, History",181
221,La Dolce Vita,1960,8.1,1877,"Comedy, Drama",176
222,There Will Be Blood,2007,8.1,6706,Drama,158
223,Sherlock Jr.,1924,8.069,1007,"Action, Comedy, Mystery",45
224,Believe Me: The Abduction of Lisa McVey,2018,8.07,629,"Drama, TV Movie, Crime",98
225,"Three Billboards Outside Ebbing, Missouri",2017,8.069,10167,"Crime, Drama",115
226,My Neighbor Totoro,1988,8.069,8071,"Fantasy, Animation, Family",86
227,Rashomon,1950,8.1,2255,"Crime, Drama, Mystery",88
228,Along with the Gods: The Two Worlds,2017,8.1,1062,"Action, Adventure, Drama, Fantasy, Thriller",139
229,Pride & Prejudice,2005,8.1,8106,"Drama, Romance",129
230,2001: A Space Odyssey,1968,8.067,11652,"Science Fiction, Mystery, Adventure",149
231,Prayers for Bobby,2009,8.1,581,"Drama, History, TV Movie",89
232,The Thing,1982,8.066,7114,"Horror, Mystery, Science Fiction",109
