Rank,Title,Year,IMDb Rating,Votes,Genre,Runtime
400,The Cabinet of Dr. Caligari,1920,7.915,1611,"Drama, Horror, Thriller, Crime",76
401,The Cabinet of Dr. Caligari,1920,7.915,1611,"Drama, Horror, Thriller, Crime",76
402,Amélie,2001,7.9,11618,"Comedy, Romance",122
403,What Ever Happened to Baby Jane?,1962,7.914,1061,"Thriller, Drama, Horror",135
404,Unforgiven,1992,7.914,4465,Western,130
405,Simone: Woman of the Century,2022,7.9,349,"Drama, History",140
406,Amarcord,1973,7.9,1111,"Comedy, Drama",123
407,Inside Out,2015,7.912,22219,"Animation, Family, Adventure, Drama, Comedy",95
408,Throne of Blood,1957,7.912,870,"Drama, History",108
409,A Street Cat Named Bob,2016,7.9,1448,"Family, Drama",103
410,Chinatown,1974,7.91,3863,"Crime, Drama, Mystery, Thriller",130
411,The Third Man,1949,7.9,1887,"Thriller, Mystery",105
412,Tokyo Godfathers,2003,7.9,1305,"Animation, Drama, Comedy",92
413,On the Waterfront,1954,7.91,1592,"Crime, Drama, Romance",108
414,Titanic,1997,7.9,25640,"Drama, Romance",194
415,My Father's Violin,2022,7.906,330,"Drama, Music",112
416,Mulan,1998,7.9,9790,"Animation, Family, Adventure",88
417,The Boy Who Harnessed the Wind,2019,7.9,1688,"Drama, History",113
418,Guardians of the Galaxy,2014,7.905,28216,"Action, Science Fiction, Adventure",121
419,In the Name of the Father,1993,7.905,1765,Drama,133
420,Harry Potter and the Philosopher's Stone,2001,7.9,27837,"Adventure, Fantasy",152
421,Dogman,2023,7.9,1133,"Action, Drama, Crime",115
422,In This Corner of the World,2016,7.9,565,"Drama, Animation, Romance, War, History",130
423,Divorce Italian Style,1961,7.903,470,"Comedy, Crime",104
424,La La Land,2016,7.9,17031,"Comedy, Drama, Romance, Music",129
425,Ne Zha,2019,7.9,416,"Animation, Fantasy, Adventure",110
426,La Strada,1954,7.901,1073,Drama,115
427,Dangal,2016,7.9,1001,"Drama, Family, Comedy",161
428,Captain Fantastic,2016,7.899,6442,"Adventure, Drama",118
429,Yi Yi,2000,7.899,543,"Drama, Comedy",174
430,Diabolique,1955,7.9,986,"Horror, Thriller, Mystery",117
431,Ron's Gone Wrong,2021,7.9,1876,"Animation, Science Fiction, Family, Comedy",107
432,Return of the Jedi,1983,7.9,15824,"Adventure, Action, Science Fiction",132
433,V for Vendetta,2006,7.898,14595,"Action, Thriller, Science Fiction",132
434,Bad Genius,2017,7.9,785,"Drama, Crime, Thriller, Comedy",130
435,Persepolis,2007,7.897,1963,"Animation, Drama",95
436,Young Woman and the Sea,2024,7.896,322,"History, Drama",129
437,Dragon Ball Super: Super Hero,2022,7.9,2854,"Animation, Science Fiction, Action",99
438,La Maison en Petits Cubes,2008,7.896,432,Animation,12
439,The Mitchells vs. the Machines,2021,7.895,2987,"Animation, Adventure, Comedy",110
440,The Pursuit of Happyness,2006,7.895,9943,Drama,117
441,Dragon Ball Super: Broly,2018,7.9,2933,"Action, Science Fiction, Animation",99
442,A Separation,2011,7.894,1758,Drama,123
443,Coraline,2009,7.9,8209,"Animation, Family, Fantasy",100
444,Young Woman and the Sea,2024,7.896,322,"History, Drama",129
445,Rebecca,1940,7.891,1778,"Mystery, Romance, Thriller, Drama",130
446,"Remi, Nobody's Boy",2018,7.9,419,"Adventure, Family, Drama",109
447,Gone Girl,2014,7.9,18775,"Mystery, Thriller, Drama",149
448,The Notebook,2004,7.889,11663,"Romance, Drama",123
449,Miraculous World: Shanghai – The Legend of Ladydragon,2021,7.888,646,"Animation, Fantasy, Action, TV Movie",54
450,Nimona,2023,7.885,1135,"Animation, Family, Action, Science Fiction, Adventure, Fantasy, Drama",99
451,A Whisker Away,2020,7.9,1386,"Animation, Drama, Romance, Fantasy",104
452,Thirteen Lives,2022,7.9,1286,"Drama, Thriller",147
453,El Infierno,2010,7.9,684,"Action, Crime, Western, Comedy, Drama",148
454,Invisible Life,2019,7.9,308,Drama,140
455,The Greatest Showman,2017,7.884,9507,Drama,105
456,Wish Dragon,2021,7.881,1357,"Animation, Family, Comedy, Fantasy",99
457,Justice League: The Flashpoint Paradox,2013,7.9,1836,"Animation, Science Fiction, Action, Adventure",75
458,"Argentina, 1985",2022,7.9,638,"Drama, History, Crime",141
459,I'm No Longer Here,2019,7.9,489,Drama,112
460,We Are the Nobles,2013,7.9,501,Comedy,108
461,Winter Light,1963,7.9,451,Drama,80
462,Umberto D.,1952,7.878,687,Drama,91
463,Roman Holiday,1953,7.9,2064,"Romance, Comedy, Drama",119
464,The Battle of Algiers,1966,7.9,789,"Drama, War, History",121
465,Kill Bill: Vol. 2,2004,7.874,14008,"Action, Crime, Thriller",136
466,An Egg Rescue,2021,7.9,410,"Animation, Comedy, Adventure, Family",89
467,La Jetée,1962,7.9,898,"Romance, Science Fiction",28
468,Little Women,2019,7.9,6338,"Drama, Romance, History",135
469,Wild Tales,2014,7.9,3414,"Drama, Thriller, Comedy",122
470,Ben-Hur,1959,7.871,2800,"History, Drama, Adventure, Action",222
471,Sing Street,2016,7.9,2291,"Romance, Drama, Music",105
472,The Night of the Hunter,1955,7.869,1633,"Crime, Drama, Thriller",93
473,Young Frankenstein,1974,7.868,3148,Comedy,106
474,Vincent,1982,7.9,856,"Animation, Fantasy",6
475,Perfect Strangers,2016,7.864,4400,"Comedy, Drama",97
476,Mamma Roma,1962,7.864,407,Drama,110
477,Dancer in the Dark,2000,7.864,1808,"Drama, Crime",140
478,Mary and Max,2009,7.9,2010,"Animation, Comedy, Drama",92
479,Just Mercy,2019,7.862,2281,"Drama, Crime, History",137
480,Paper Moon,1973,7.9,727,"Comedy, Crime, Drama",102
481,Downfall,2004,7.9,3888,"Drama, History, War",155
482,Fargo,1996,7.9,8165,"Crime, Drama, Thriller",98
483,Finch,2021,7.859,3578,"Science Fiction, Drama, Adventure",115
484,The Cameraman,1928,7.9,377,"Comedy, Romance",74
485,A Beautiful Mind,2001,7.858,10281,"Drama, Romance",135
486,A Bronx Tale,1993,7.857,2529,"Drama, Crime",121
487,Sing 2,2021,7.9,4434,"Animation, Family, Music, Comedy",110
488,Mr. Smith Goes to Washington,1939,7.856,1066,"Comedy, Drama",129
489,Shoplifters,2018,7.854,2067,"Drama, Crime, Thriller",120
490,My Fault,2023,7.852,3494,"Romance, Drama",117
491,Her,2013,7.852,14355,"Romance, Science Fiction, Drama",126
492,Isle of Dogs,2018,7.851,4940,"Adventure, Comedy, Animation",101
493,Werckmeister Harmonies,2001,7.9,328,Drama,139
494,Stand by Me,1986,7.851,5934,"Crime, Drama",89
495,My Way,2011,7.85,391,"Drama, Action, History, War",137
496,Indiana Jones and the Last Crusade,1989,7.8,10230,"Adventure, Action",127
497,The Witch: Part 1. The Subversion,2018,7.8,596,"Action, Mystery, Science Fiction",125
498,The Theory of Everything,2014,7.847,10570,"Drama, Romance",123
499,Millennium Actress,2002,7.8,868,"Animation, Drama, Romance, Fantasy",87
500,Grand Illusion,1937,7.847,696,"Drama, History, War",114
501,Redeeming Love,2022,7.8,580,"Romance, Drama, Western",134
502,See You Up There,2017,7.8,1279,"Drama, Crime, War",113
503,Knives Out,2019,7.845,12579,"Comedy, Crime, Mystery",131
504,Tampopo,1985,7.845,365,Comedy,115
505,The Breadwinner,2017,7.844,844,"Animation, War, Drama, Family",94
506,Departures,2008,7.8,835,Drama,130
507,Dances with Wolves,1990,7.8,4275,"Adventure, Drama, Western",181
508,Raya and the Last Dragon,2021,7.843,6843,"Animation, Family, Fantasy, Action, Adventure",107
509,Warrior,2011,7.8,4607,"Drama, Action",140
510,"Monsters, Inc.",2001,7.8,18603,"Animation, Comedy, Family",92
511,Sherlock: The Abominable Bride,2016,7.842,2252,"Crime, Drama, Mystery",90
512,Dog Day Afternoon,1975,7.842,2996,"Crime, Drama, Thriller",125
513,Ivan's Childhood,1962,7.841,741,"Drama, War",95
514,Papillon,1973,7.841,1928,"Crime, Drama",151
515,Scooby-Doo! Camp Scare,2010,7.8,304,"Animation, Comedy, Family, Mystery",72
516,The Big Lebowski,1998,7.839,11287,"Comedy, Crime",117
517,Feast,2014,7.838,856,"Animation, Comedy, Drama, Family",6
518,Ace in the Hole,1951,7.8,672,Drama,111
519,Close to the Horizon,2019,7.8,486,"Romance, Drama",117
520,Regular Show: The Movie,2015,7.8,383,"Animation, Comedy, Science Fiction, TV Movie, Adventure, Action",69
521,Regular Show: The Movie,2015,7.8,383,"Animation, Comedy, Science Fiction, TV Movie, Adventure, Action",69
522,The Nightmare Before Christmas,1993,7.837,9656,"Fantasy, Animation, Family",76
523,Charm City Kings,2020,7.836,473,Drama,125
524,How to Train Your Dragon,2010,7.8,13188,"Fantasy, Adventure, Animation, Family",98
525,A Fistful of Dollars,1964,7.836,4296,Western,99
526,The Whale,2022,7.835,4000,Drama,117
527,Two Women,1960,7.8,536,"Drama, War",100
528,The Virgin Spring,1960,7.835,618,"Drama, History",90
529,The Grapes of Wrath,1940,7.831,994,Drama,129
530,Carlito's Way,1993,7.833,3176,"Crime, Drama, Thriller",144
531,Anatomy of a Murder,1959,7.8,1011,"Crime, Drama, Mystery",161
532,The Marquis of Grillo,1981,7.8,466,Comedy,139
533,Nostalgia,1983,7.836,537,"Drama, Romance",124
534,The Boy in the Striped Pyjamas,2008,7.8,7224,"Drama, War, History",94
535,Joint Security Area,2000,7.8,721,"War, Drama, Thriller, Mystery",108
536,The Shadow in My Eye,2021,7.829,494,"War, Drama, History",107
537,The Best Offer,2013,7.829,2853,"Drama, Romance, Crime",131
538,War Room,2015,7.827,532,Drama,120
539,We Bare Bears: The Movie,2020,7.826,810,"Animation, Adventure, Family, Comedy, TV Movie",69
540,World of Tomorrow,2015,7.825,326,"Animation, Drama, Science Fiction",17
541,La luna,2012,7.8,802,"Animation, Family, Fantasy",7
542,Kiki's Delivery Service,1989,7.825,4119,"Animation, Family, Fantasy",103
543,"Love, Rosie",2014,7.824,6244,"Romance, Drama, Comedy",102
544,Ratatouille,2007,7.8,17250,"Animation, Comedy, Family, Fantasy",111
545,Rosemary's Baby,1968,7.8,3978,"Drama, Horror, Thriller",138
546,A Bag of Marbles,2017,7.822,856,"War, Drama",113
547,Fantozzi: White Collar Blues,1975,7.822,827,Comedy,108
548,Infernal Affairs,2002,7.822,1660,"Drama, Action, Thriller, Crime, Mystery",100
549,1900,1976,7.822,631,"Drama, History",316
550,The Specials,2019,7.821,915,"Comedy, Drama",114
