Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
535,Jurassic World,Movie,2015.0,Science Fiction,"34,000,000",34.0M
538,Prisoners,Movie,2013.0,Thriller,"33,900,000",33.9M
547,White Noise,Movie,2022.0,Drama,"33,500,000",33.5M
558,Through My Window,Movie,2022.0,Comedy,"33,000,000",33.0M
563,The Bad Guys,Movie,2022.0,Animation,"32,700,000",32.7M
573,Shooter,Movie,2007.0,Thriller,"32,300,000",32.3M
578,Me Time,Movie,2022.0,Comedy,"32,100,000",32.1M
579,My Name Is Vendetta,Movie,2022.0,Thriller,"32,100,000",32.1M
582,Pitch Perfect,Movie,2012.0,Musical,"31,900,000",31.9M
586,Over the Hedge,Movie,2006.0,Animation,"31,700,000",31.7M
590,The SpongeBob Movie: Sponge on the Run,Movie,2020.0,Animation,"31,400,000",31.4M
593,Mission Majnu,Movie,2023.0,Action,"31,200,000",31.2M
595,Bad Boys II,Movie,2003.0,Action,"31,100,000",31.1M
599,Where the Crawdads Sing,Movie,2022.0,Crime,"31,000,000",31.0M
605,Still Time,Movie,2022.0,Comedy,"30,800,000",30.8M
608,Enola Holmes 2,Movie,2022.0,Adventure,"30,600,000",30.6M
612,Minions & More Volume 2,Movie,2022.0,Animation,"30,500,000",30.5M
617,Love at First Kiss,Movie,2023.0,Comedy,"30,300,000",30.3M
620,Tonight You're Sleeping with Me,Movie,2023.0,Romance,"30,300,000",30.3M
624,The Adam Project,Movie,2022.0,Science Fiction,"30,100,000",30.1M
628,In His Shadow,Movie,2023.0,Crime,"30,100,000",30.1M
630,Penguins of Madagascar,Movie,2014.0,Animation,"30,100,000",30.1M
631,Sniper: Ghost Shooter,Movie,2016.0,Action,"30,100,000",30.1M
632,Spenser Confidential,Movie,2020.0,Crime,"30,100,000",30.1M
634,I See You,Movie,2019.0,Crime,"30,000,000",30.0M
635,The Good Nurse,Movie,2022.0,Thriller,"30,000,000",30.0M
645,Mrs. Chatterjee Vs Norway,Movie,2023.0,Drama,"29,600,000",29.6M
653,Noah,Movie,2014.0,Drama,"29,500,000",29.5M
654,RRR,Movie,2022.0,Action,"29,400,000",29.4M
655,Yes Day,Movie,2021.0,Comedy,"29,400,000",29.4M
656,You Do You,Movie,2023.0,Comedy,"29,400,000",29.4M
666,Day Shift,Movie,2022.0,Fantasy,"29,000,000",29.0M
671,The Man From Toronto,Movie,2022.0,Action,"28,900,000",28.9M
672,Trolls World Tour,Movie,2020.0,Animation,"28,900,000",28.9M
675,The Irishman,Movie,2019.0,Drama,"28,800,000",28.8M
676,The Swimmers,Movie,2022.0,Sports,"28,800,000",28.8M
687,Honest Thief,Movie,2020.0,Action,"28,300,000",28.3M
689,Transformers: Revenge of the Fallen,Movie,2009.0,Science Fiction,"28,300,000",28.3M
692,The Hunger Games: Catching Fire,Movie,2013.0,Science Fiction,"28,200,000",28.2M
694,Army of Thieves,Movie,2021.0,Action,"28,100,000",28.1M
695,Fifty Shades Darker,Movie,2017.0,Romance,"28,100,000",28.1M
696,The Deep End of the Ocean,Movie,1999.0,Drama,"28,100,000",28.1M
697,The Hangover,Movie,2009.0,Comedy,"28,100,000",28.1M
698,The Old Guard,Movie,2020.0,Action,"28,100,000",28.1M
699,Transformers: Dark of the Moon,Movie,2011.0,Science Fiction,"28,100,000",28.1M
704,The Angry Birds Movie,Movie,2016.0,Animation,"28,000,000",28.0M
707,Harry Potter and the Philosopher's Stone,Movie,2001.0,Fantasy,"27,900,000",27.9M
708,How I Became a Gangster,Movie,2019.0,Crime,"27,900,000",27.9M
725,Kung Fu Panda 3,Movie,2016.0,Animation,"27,600,000",27.6M
733,Vivo,Movie,2021.0,Animation,"27,500,000",27.5M
738,Army of the Dead,Movie,2021.0,Action,"27,300,000",27.3M
740,Hotel Transylvania 3: Summer Vacation,Movie,2018.0,Animation,"27,300,000",27.3M
742,Mission: Impossible - Fallout,Movie,2018.0,Action,"27,300,000",27.3M
743,Noise,Movie,2023.0,Drama,"27,300,000",27.3M
753,The Longest Yard,Movie,2005.0,Drama,"27,100,000",27.1M
754,The Secret Life of Pets,Movie,2016.0,Animation,"27,100,000",27.1M
756,Tu Jhoothi Main Makkaar,Movie,2023.0,Romance,"27,100,000",27.1M
762,Dragged Across Concrete,Movie,2019.0,Crime,"26,900,000",26.9M
765,Just Go with It,Movie,2011.0,Romance,"26,800,000",26.8M
766,Lady Chatterley's Lover,Movie,2022.0,Drama,"26,800,000",26.8M
776,Lou,Movie,2022.0,Crime,"26,600,000",26.6M
779,Ted,Movie,2012.0,Comedy,"26,500,000",26.5M
780,Triple Frontier,Movie,2019.0,Crime,"26,500,000",26.5M
782,Slumberland,Movie,2022.0,Fantasy,"26,400,000",26.4M
783,Uncharted,Movie,2022.0,Adventure,"26,400,000",26.4M
785,The Emoji Movie,Movie,2017.0,Animation,"26,300,000",26.3M
788,Army of One,Movie,2020.0,Action,"26,200,000",26.2M
789,Knives Out,Movie,2019.0,Crime,"26,200,000",26.2M
793,Anna Nicole Smith: You Don't Know Me,Movie,2023.0,Documentary,"26,100,000",26.1M
804,Hustle,Movie,2022.0,Drama,"25,700,000",25.7M
807,Whitney Houston: I Wanna Dance with Somebody,Movie,2022.0,Biography,"25,700,000",25.7M
810,Madagascar 3: Europe's Most Wanted,Movie,2012.0,Animation,"25,500,000",25.5M
814,The Perfect Find,Movie,2023.0,Comedy,"25,400,000",25.4M
823,Don't Look Up,Movie,2021.0,Comedy,"25,200,000",25.2M
824,Fatherhood,Movie,2021.0,Comedy,"25,200,000",25.2M
829,365 Days,Movie,2020.0,Romance,"25,000,000",25.0M
830,The Karate Kid,Movie,2010.0,Action,"25,000,000",25.0M
834,Shehzada,Movie,2023.0,Action,"24,800,000",24.8M
846,Heat,Movie,1995.0,Crime,"24,500,000",24.5M
855,Feel the Beat,Movie,2020.0,Comedy,"24,300,000",24.3M
859,The Angry Birds Movie 2,Movie,2019.0,Animation,"24,300,000",24.3M
863,Nobody,Movie,2021.0,Action,"24,200,000",24.2M
873,Make Me Believe,Movie,2023.0,Comedy,"24,000,000",24.0M
874,The Kissing Booth,Movie,2018.0,Comedy,"24,000,000",24.0M
877,We're the Millers,Movie,2013.0,Comedy,"24,000,000",24.0M
879,Rango,Movie,2011.0,Animation,"23,900,000",23.9M
880,Sniper: Ultimate Kill,Movie,2017.0,Action,"23,900,000",23.9M
882,The SpongeBob SquarePants Movie,Movie,2004.0,Animation,"23,900,000",23.9M
887,Grown Ups 2,Movie,2013.0,Comedy,"23,700,000",23.7M
891,Hard Feelings,Movie,2023.0,Comedy,"23,600,000",23.6M
892,Harry Potter and the Chamber of Secrets,Movie,2002.0,Fantasy,"23,600,000",23.6M
904,Black Crab,Movie,2022.0,Science Fiction,"23,300,000",23.3M
907,The Harder They Fall,Movie,2021.0,Western,"23,300,000",23.3M
911,Senior Year,Movie,2022.0,Comedy,"23,200,000",23.2M
912,Snake Eyes: G.I. Joe Origins,Movie,2021.0,Action,"23,200,000",23.2M
913,To All the Boys I've Loved Before,Movie,2018.0,Romance,"23,200,000",23.2M
914,Fifty Shades of Grey,Movie,2015.0,Romance,"23,100,000",23.1M
916,Inside Man,Movie,2006.0,Crime,"23,100,000",23.1M
920,Sweet Girl,Movie,2021.0,Action,"23,100,000",23.1M
924,Inheritance,Movie,2020.0,Thriller,"23,000,000",23.0M
928,The Adventures of Sharkboy and Lavagirl,Movie,2005.0,Adventure,"23,000,000",23.0M
934,Shrek the Third,Movie,2007.0,Animation,"22,900,000",22.9M
941,Madagascar,Movie,2005.0,Animation,"22,700,000",22.7M
946,Enough,Movie,2002.0,Action,"22,600,000",22.6M
950,Smurfs: The Lost Village,Movie,2017.0,Animation,"22,500,000",22.5M
951,Money Shot: The Pornhub Story,Movie,2023.0,Documentary,"22,400,000",22.4M
956,King Kong,Movie,2005.0,Science Fiction,"22,300,000",22.3M
957,Pinkfong & Baby Shark's Space Adventure,Movie,2019.0,Animation,"22,300,000",22.3M
961,Tears of the Sun,Movie,2003.0,Action,"22,200,000",22.2M
962,The SpongeBob Movie: Sponge Out of Water,Movie,2015.0,Animation,"22,200,000",22.2M
966,Over the Moon,Movie,2020.0,Animation,"22,000,000",22.0M
971,Squared Love All Over Again,Movie,2023.0,Comedy,"21,900,000",21.9M
972,Take Care of Maya,Movie,2023.0,Documentary,"21,900,000",21.9M
974,Twilight,Movie,2008.0,Fantasy,"21,900,000",21.9M
980,World War Z,Movie,2013.0,Horror,"21,800,000",21.8M
981,10 Days of a Good Man,Movie,2023.0,Crime,"21,700,000",21.7M
995,Black Clover: Sword of the Wizard King,Movie,2023.0,Animation,"21,500,000",21.5M
999,Hard Target 2,Movie,2016.0,Action,"21,400,000",21.4M
1007,Luckiest Girl Alive,Movie,2022.0,Drama,"21,200,000",21.2M
1018,The Wrong Missy,Movie,2020.0,Comedy,"21,000,000",21.0M
1019,Chokehold,Movie,2023.0,Crime,"21,000,000",21.0M
1020,Coach Carter,Movie,2005.0,Drama,"21,000,000",21.0M
1026,The Last Stand,Movie,2013.0,Action,"20,900,000",20.9M
1034,The Condemned,Movie,2007.0,Action,"20,800,000",20.8M
1035,Where the Tracks End,Movie,2023.0,Comedy,"20,800,000",20.8M
1039,Project Power,Movie,2020.0,Action,"20,700,000",20.7M
1043,The Hunger Games: Mockingjay - Part 2,Movie,2015.0,Science Fiction,"20,600,000",20.6M
1047,Tyler Perry's A Madea Homecoming,Movie,2022.0,Comedy,"20,400,000",20.4M
1049,Do Revenge,Movie,2022.0,Comedy,"20,400,000",20.4M
1055,Synchronic,Movie,2020.0,Thriller,"20,300,000",20.3M
1056,Transformers: The Last Knight,Movie,2017.0,Science Fiction,"20,300,000",20.3M
1059,A Perfect Pairing,Movie,2022.0,Comedy,"20,200,000",20.2M
1068,The Kissing Booth 2,Movie,2020.0,Romance,"20,100,000",20.1M
1070,Colombiana,Movie,2011.0,Action,"20,000,000",20.0M
1078,War,Movie,2007.0,Thriller,"19,900,000",19.9M
1085,Daddy Day Care,Movie,2003.0,Comedy,"19,700,000",19.7M
1087,Johnny,Movie,2022.0,Biography,"19,700,000",19.7M
1091,The Croods: A New Age,Movie,2020.0,Animation,"19,700,000",19.7M
1093,Cloudy with a Chance of Meatballs 2,Movie,2013.0,Animation,"19,600,000",19.6M
1094,Forrest Gump,Movie,1994.0,Drama,"19,600,000",19.6M
1101,Spider-Man: Far from Home,Movie,2019.0,Superhero,"19,500,000",19.5M
1112,Bird Box,Movie,2018.0,Horror,"19,300,000",19.3M
1113,God's Crooked Lines,Movie,2022.0,Thriller,"19,300,000",19.3M
1114,Harry Potter and the Prisoner of Azkaban,Movie,2004.0,Fantasy,"19,300,000",19.3M
1119,Central Intelligence,Movie,2016.0,Action,"19,200,000",19.2M
1120,Harry Potter and the Goblet of Fire,Movie,2005.0,Fantasy,"19,100,000",19.1M
1123,The Hunger Games: Mockingjay - Part 1,Movie,2014.0,Science Fiction,"19,100,000",19.1M
1124,The Year I Started Masturbating,Movie,2022.0,Comedy,"19,100,000",19.1M
1125,Wrong Place,Movie,2022.0,Action,"19,100,000",19.1M
1136,The Next 365 Days,Movie,2022.0,Romance,"18,900,000",18.9M
1138,Minions & More: Volume 1,Movie,2022.0,Animation,"18,800,000",18.8M
1139,Pokémon: Mewtwo Strikes Back Evolution,Movie,2019.0,Animation,"18,800,000",18.8M
1140,R.I.P.D.,Movie,2013.0,Science Fiction,"18,800,000",18.8M
1142,Ad Astra,Movie,2019.0,Science Fiction,"18,700,000",18.7M
1144,Jumanji: Welcome to the Jungle,Movie,2017.0,Adventure,"18,700,000",18.7M
1146,Monster House,Movie,2006.0,Animation,"18,700,000",18.7M
1151,Emergency Declaration,Movie,2022.0,Action,"18,600,000",18.6M
1153,How It Ends,Movie,2018.0,Thriller,"18,600,000",18.6M
1154,Life,Movie,1999.0,Crime,"18,600,000",18.6M
1157,The Raid 2,Movie,2014.0,Action,"18,600,000",18.6M
1158,This Is Where I Leave You,Movie,2014.0,Drama,"18,600,000",18.6M
1159,How to Train Your Dragon 2,Movie,2014.0,Animation,"18,500,000",18.5M
1162,All the Places,Movie,2023.0,Adventure,"18,400,000",18.4M
1169,John Wick: Chapter Two,Movie,2017.0,Action,"18,300,000",18.3M
1172,The Big 4,Movie,2022.0,Action,"18,300,000",18.3M
1173,The Dark Knight,Movie,2008.0,Superhero,"18,300,000",18.3M
1174,The Hangover Part III,Movie,2013.0,Comedy,"18,300,000",18.3M
1175,El padrino: The Latin Godfather,Movie,2004.0,Thriller,"18,300,000",18.3M
1178,2012,Movie,2009.0,Science Fiction,"18,200,000",18.2M
1184,Goosebumps,Movie,2015.0,Adventure,"18,100,000",18.1M
1192,Interceptor,Movie,2022.0,Action,"18,000,000",18.0M
1195,Blue Streak,Movie,1999.0,Crime,"17,900,000",17.9M
1199,The Hangover Part II,Movie,2011.0,Comedy,"17,900,000",17.9M
1200,Transformers: Age of Extinction,Movie,2014.0,Science Fiction,"17,900,000",17.9M
1204,Home Team,Movie,2022.0,Comedy,"17,800,000",17.8M
1206,The Mule,Movie,2018.0,Crime,"17,800,000",17.8M
1208,Trouble,Movie,2019.0,Animation,"17,700,000",17.7M
