Rank,Title,Type,Premiere,Genre,Watchtime_M
635,The Good Nurse,Movie,2022.0,Thriller,30.0
645,Mrs. Chatterjee Vs Norway,Movie,2023.0,Drama,29.6
653,Noah,Movie,2014.0,Drama,29.5
654,RRR,Movie,2022.0,Action,29.4
655,Yes Day,Movie,2021.0,Comedy,29.4
656,You Do You,Movie,2023.0,Comedy,29.4
666,Day Shift,Movie,2022.0,Fantasy,29.0
671,The Man From Toronto,Movie,2022.0,Action,28.9
672,Trolls World Tour,Movie,2020.0,Animation,28.9
675,The Irishman,Movie,2019.0,Drama,28.8
676,The Swimmers,Movie,2022.0,Sports,28.8
687,Honest Thief,Movie,2020.0,Action,28.3
689,Transformers: Revenge of the Fallen,Movie,2009.0,Science Fiction,28.3
692,The Hunger Games: Catching Fire,Movie,2013.0,Science Fiction,28.2
694,Army of Thieves,Movie,2021.0,Action,28.1
695,Fifty Shades Darker,Movie,2017.0,Romance,28.1
696,The Deep End of the Ocean,Movie,1999.0,Drama,28.1
697,The Hangover,Movie,2009.0,Comedy,28.1
698,The Old Guard,Movie,2020.0,Action,28.1
699,Transformers: Dark of the Moon,Movie,2011.0,Science Fiction,28.1
704,The Angry Birds Movie,Movie,2016.0,Animation,28.0
707,Harry Potter and the Philosopher's Stone,Movie,2001.0,Fantasy,27.9
708,How I Became a Gangster,Movie,2019.0,Crime,27.9
725,Kung Fu Panda 3,Movie,2016.0,Animation,27.6
733,Vivo,Movie,2021.0,Animation,27.5
738,Army of the Dead,Movie,2021.0,Action,27.3
740,Hotel Transylvania 3: Summer Vacation,Movie,2018.0,Animation,27.3
742,Mission: Impossible - Fallout,Movie,2018.0,Action,27.3
743,Noise,Movie,2023.0,Drama,27.3
753,The Longest Yard,Movie,2005.0,Drama,27.1
754,The Secret Life of Pets,Movie,2016.0,Animation,27.1
756,Tu Jhoothi Main Makkaar,Movie,2023.0,Romance,27.1
762,Dragged Across Concrete,Movie,2019.0,Crime,26.9
765,Just Go with It,Movie,2011.0,Romance,26.8
766,Lady Chatterley's Lover,Movie,2022.0,Drama,26.8
776,Lou,Movie,2022.0,Crime,26.6
779,Ted,Movie,2012.0,Comedy,26.5
780,Triple Frontier,Movie,2019.0,Crime,26.5
782,Slumberland,Movie,2022.0,Fantasy,26.4
783,Uncharted,Movie,2022.0,Adventure,26.4
785,The Emoji Movie,Movie,2017.0,Animation,26.3
788,Army of One,Movie,2020.0,Action,26.2
789,Knives Out,Movie,2019.0,Crime,26.2
793,Anna Nicole Smith: You Don't Know Me,Movie,2023.0,Documentary,26.1
804,Hustle,Movie,2022.0,Drama,25.7
807,Whitney Houston: I Wanna Dance with Somebody,Movie,2022.0,Biography,25.7
810,Madagascar 3: Europe's Most Wanted,Movie,2012.0,Animation,25.5
814,The Perfect Find,Movie,2023.0,Comedy,25.4
823,Don't Look Up,Movie,2021.0,Comedy,25.2
824,Fatherhood,Movie,2021.0,Comedy,25.2
829,365 Days,Movie,2020.0,Romance,25.0
830,The Karate Kid,Movie,2010.0,Action,25.0
834,Shehzada,Movie,2023.0,Action,24.8
846,Heat,Movie,1995.0,Crime,24.5
855,Feel the Beat,Movie,2020.0,Comedy,24.3
